








Frequency of observations in the selected location(s).:
Number of taxa: 	421

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	631.0	421.0	429.0	535.0	410.0	469.0	783.0	413.0	484.0	429.0	575.0	840.0	624.0	656.0	543.0	791.0	638.0	657.0	546.0	600.0	455.0	401.0	398.0	415.0	387.0	422.0	431.0	549.0	451.0	411.0	462.0	716.0	579.0	495.0	480.0	633.0	549.0	423.0	367.0	613.0	325.0	378.0	303.0	379.0	278.0	287.0	341.0	463.0	

Greater White-fronted Goose	0.02377179080824089	0.023752969121140142	0.016317016317016316	0.018691588785046728	0.01707317073170732	0.023454157782515993	0.01277139208173691	0.021791767554479417	0.01652892561983471	0.009324009324009324	0.010434782608695653	0.014285714285714285	0.019230769230769232	0.01524390243902439	0.05156537753222836	0.056890012642225034	0.03761755485893417	0.0319634703196347	0.016483516483516484	0.015	0.006593406593406593	0.0	0.0	0.0024096385542168677	0.00516795865633075	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.022452504317789293	0.00404040404040404	0.00625	0.11374407582938388	0.09836065573770492	0.07092198581560284	0.04904632152588556	0.04404567699836868	0.027692307692307693	0.037037037037037035	0.033003300330033	0.023746701846965697	0.02877697841726619	0.020905923344947737	0.020527859237536656	0.017278617710583154	
Emperor Goose	0.0	0.0	0.002331002331002331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Snow Goose	0.020602218700475437	0.011876484560570071	0.009324009324009324	0.009345794392523364	0.004878048780487805	0.006396588486140725	0.007662835249042145	0.002421307506053269	0.01652892561983471	0.004662004662004662	0.01391304347826087	0.010714285714285714	0.0016025641025641025	0.0015	0.003683241252302026	0.0012642225031605564	0.001567398119122257	0.0015220700152207	0.003663003663003663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00404040404040404	0.0020833333333333333	0.00631911532385466	0.0036429872495446266	0.018912529550827423	0.02452316076294278	0.01631321370309951	0.009230769230769232	0.007936507936507936	0.006600660066006601	0.002638522427440633	0.02158273381294964	0.003484320557491289	0.011730205278592375	0.0064794816414686825	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018214936247723133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.004754358161648178	0.004750593824228029	0.013986013986013986	0.007476635514018692	0.01951219512195122	0.029850746268656716	0.020434227330779056	0.024213075060532687	0.05578512396694215	0.04195804195804196	0.06608695652173913	0.05714285714285714	0.06570512820512821	0.07926829268292683	0.04604051565377532	0.04677623261694058	0.05329153605015674	0.0213089802130898	0.009157509157509158	0.0016666666666666668	0.006593406593406593	0.0	0.002512562814070352	0.0024096385542168677	0.002583979328165375	0.0	0.002320185614849188	0.0036429872495446266	0.004434589800443459	0.004866180048661801	0.006493506493506494	0.002793296089385475	0.0034542314335060447	0.00202020202020202	0.00625	0.0	0.0	0.0015	0.0	0.004893964110929853	0.006153846153846154	0.005291005291005291	0.006600660066006601	0.018469656992084433	0.0015	0.0	0.005865102639296188	0.008639308855291577	
Cackling Goose	0.028526148969889066	0.021377672209026127	0.011655011655011656	0.013084112149532711	0.004878048780487805	0.01279317697228145	0.011494252873563218	0.007263922518159807	0.010330578512396695	0.002331002331002331	0.010434782608695653	0.009523809523809525	0.009615384615384616	0.001524390243902439	0.0055248618784530384	0.015170670037926675	0.012539184952978056	0.0121765601217656	0.009157509157509158	0.0033333333333333335	0.004395604395604396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.04739336492890995	0.03278688524590164	0.028368794326241134	0.03814713896457766	0.02936378466557912	0.036923076923076927	0.06349206349206349	0.052805280528052806	0.023746701846965697	0.03597122302158273	0.006968641114982578	0.011730205278592375	0.02159827213822894	
Canada Goose	0.3011093502377179	0.28741092636579574	0.28205128205128205	0.34392523364485983	0.35609756097560974	0.3624733475479744	0.3167305236270754	0.36803874092009686	0.42768595041322316	0.42424242424242425	0.46260869565217394	0.4797619047619048	0.4807692307692308	0.43597560975609756	0.4696132596685083	0.48166877370417194	0.4592476489028213	0.4748858447488584	0.43956043956043955	0.43833333333333335	0.3824175824175824	0.30174563591022446	0.24371859296482412	0.21445783132530122	0.24289405684754523	0.2843601895734597	0.31322505800464034	0.39526411657559196	0.34811529933481156	0.3722627737226277	0.3528138528138528	0.3743016759776536	0.39723661485319517	0.36767676767676766	0.3729166666666667	0.35545023696682465	0.33697632058287796	0.3309692671394799	0.29155313351498635	0.28711256117455136	0.31076923076923074	0.32275132275132273	0.31353135313531355	0.3007915567282322	0.3776978417266187	0.313588850174216	0.3460410557184751	0.326133909287257	
Cackling/Canada Goose	0.001584786053882726	0.004750593824228029	0.002331002331002331	0.001869158878504673	0.0	0.0	0.002554278416347382	0.002421307506053269	0.002066115702479339	0.002331002331002331	0.0017391304347826088	0.0	0.0016025641025641025	0.0	0.0015	0.0037926675094816687	0.0	0.0030441400304414	0.0	0.0016666666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001579778830963665	0.0018214936247723133	0.004728132387706856	0.0027247956403269754	0.0016313213703099511	0.006153846153846154	0.0	0.0033003300330033004	0.0	0.0	0.0	0.002932551319648094	0.0	
