









Frequency of observations in the selected location(s).:
Number of taxa: 	532

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3027.0	2368.0	2102.0	2930.0	2010.0	2353.0	2892.0	2013.0	2166.0	2068.0	2401.0	3475.0	2568.0	2690.0	2537.0	3185.0	2717.0	2528.0	2096.0	2411.0	1711.0	1782.0	1627.0	1973.0	1699.0	1659.0	1722.0	2532.0	2107.0	1917.0	2162.0	3277.0	2480.0	2309.0	2215.0	2938.0	2444.0	2267.0	2131.0	3062.0	1992.0	2111.0	1929.0	2071.0	1849.0	2041.0	2193.0	2785.0	

Emperor Goose	0.0	4.223E-4	4.757E-4	0.0015	0.0015	0.0	3.458E-4	0.0015	4.617E-4	0.0	0.0015	2.878E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	
Snow Goose	0.0208127	0.0236486	0.0185538	0.025256	0.0124378	0.0046749	0.007953	0.0104322	0.0110803	0.0111219	0.0099958	0.0094964	0.0066199	0.0040892	0.0015767	0.0025118	0.0051527	0.0011867	0.0014313	0.0016591	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.662E-4	4.515E-4	0.0034037	0.0114566	0.0224967	0.0164242	0.0300457	0.0361446	0.0288963	0.032141	0.0231772	0.0281233	0.0151886	0.0145919	0.0129264	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0191609	0.0164696	0.0190295	0.0197952	0.018408	0.0203995	0.0114108	0.0144064	0.0129271	0.0125725	0.0087464	0.0063309	0.0097352	0.0137546	0.0346866	0.0357928	0.0272359	0.0308544	0.0195611	0.0091248	0.0029223	0.0	0.0	0.0015205	0.0017657	6.028E-4	0.0	0.0	0.0	0.0	0.0	0.0018309	0.0084677	0.0086618	0.0121896	0.0469707	0.049509	0.04367	0.0431722	0.0333116	0.0291165	0.0288963	0.0212545	0.0164172	0.0135208	0.0093092	0.0123119	0.0114901	
Pink-footed Goose	0.0	0.0	9.515E-4	0.0163823	0.0034826	0.0093498	0.0	0.0	0.0	0.004352	0.0012495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	3.304E-4	0.0015	4.757E-4	6.826E-4	4.975E-4	4.25E-4	0.0015	0.0	4.617E-4	4.836E-4	8.33E-4	2.878E-4	0.0	3.717E-4	0.0	0.0	0.0	0.0	0.0	8.295E-4	0.0	5.612E-4	0.0012293	0.0015	5.886E-4	6.028E-4	0.0015	7.899E-4	0.002373	0.0020866	0.0041628	0.0024413	0.0020161	0.0030316	0.0018059	6.807E-4	0.0016367	0.0026467	0.0032848	9.798E-4	0.0	0.0014211	0.0	0.0019314	0.0016225	9.799E-4	4.56E-4	3.591E-4	
Brant	0.0072679	0.0147804	0.0161751	0.0194539	0.0263682	0.041649	0.0255878	0.0332837	0.0493998	0.0478723	0.0578925	0.0480576	0.0541277	0.0546468	0.044935	0.0417582	0.0224512	0.0209652	0.0042939	0.0024886	0.0035067	5.612E-4	0.0036878	0.0020274	0.0011772	0.0030139	0.0011614	0.0055292	0.002373	0.0010433	0.0018501	0.0015258	0.0012097	4.331E-4	0.0013544	3.404E-4	8.183E-4	0.0017644	0.0023463	0.0042456	0.0060241	0.0052108	0.0062208	0.0086915	0.0081125	0.0024498	0.0118559	0.0086176	
Cackling Goose	0.0346878	0.027027	0.027117	0.0351536	0.0174129	0.0208245	0.0124481	0.0193741	0.0221607	0.0145068	0.0108288	0.0097842	0.0054517	0.0026022	0.0193142	0.0320251	0.0368053	0.0170095	0.0124046	0.007051	0.0075979	0.0011223	0.0012293	0.0010137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.155E-4	0.0016129	0.0030316	0.013544	0.0374404	0.0523732	0.0635201	0.0708588	0.0809928	0.0727912	0.0648982	0.0653188	0.0531144	0.0546241	0.0431161	0.0383037	0.0366248	
Canada Goose	0.2639577	0.2816723	0.2745005	0.3283276	0.3268657	0.320442	0.3105118	0.3626428	0.3730379	0.4274662	0.4348188	0.4353957	0.4330218	0.4174721	0.4442255	0.4408163	0.4251012	0.4343354	0.4107824	0.3749482	0.3378141	0.2648709	0.2145052	0.205778	0.2018835	0.2549729	0.2735192	0.3601896	0.3744661	0.3667188	0.3283996	0.3268233	0.3391129	0.349935	0.31693	0.3189244	0.3097381	0.3237759	0.3125293	0.3213586	0.3032129	0.2918048	0.2975635	0.2897151	0.2893456	0.300343	0.254446	0.2481149	
Swan Goose (Domestic type) x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.052E-4	0.0	0.0012993	0.0	3.404E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose (Domestic type) x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Domestic goose sp. (Domestic type) x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.671E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.028E-4	0.0	0.0	0.0	0.0	4.625E-4	3.052E-4	0.0	8.662E-4	9.029E-4	0.0	0.0	0.0013233	9.385E-4	0.0013063	5.02E-4	0.0	0.0	0.0	0.0	0.0	4.56E-4	0.0	
Cackling/Canada Goose	0.0039643	0.0059122	0.0038059	0.0102389	0.0059701	0.0050999	0.0017289	0.0019871	0.0018467	0.0029014	0.0020825	0.0011511	0.001947	3.717E-4	7.883E-4	0.0012559	3.681E-4	0.0015823	4.771E-4	8.295E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.746E-4	0.0015649	0.0015	3.052E-4	4.032E-4	4.331E-4	9.029E-4	6.807E-4	0.0012275	0.0044111	0.0028156	0.0071848	0.0080321	0.0056845	0.0062208	0.0091743	0.0124392	0.0029397	0.005472	0.0043088	
goose sp.	0.0013214	0.0	4.757E-4	0.0015	4.975E-4	0.0	0.0	0.0	4.617E-4	9.671E-4	0.0	2.878E-4	0.0	0.0022305	0.0067008	6.279E-4	0.0011042	0.0	0.0	8.295E-4	0.0	5.612E-4	0.0	0.0	5.886E-4	6.028E-4	0.0	0.0	0.0	0.0	4.625E-4	3.052E-4	0.0	4.331E-4	0.0013544	0.0030633	0.0012275	0.0030878	9.385E-4	0.0019595	0.001004	0.0018948	0.0031104	0.0019314	5.408E-4	0.0	0.0	0.0	
Mute Swan	0.021143	0.0202703	0.0176023	0.0170648	0.020398	0.0182745	0.0224758	0.0149031	0.023084	0.0159574	0.0162432	0.021295	0.017134	0.0182156	0.0173433	0.011617	0.0150902	0.0134494	0.0119275	0.0099544	0.0146113	0.0106622	0.0086048	0.0045616	0.0076516	0.0060277	0.0110337	0.014218	0.0137636	0.0119979	0.0180389	0.0183094	0.016129	0.0086618	0.0130926	0.0146358	0.0110475	0.0194089	0.0164242	0.0241672	0.0115462	0.0274751	0.0176257	0.0188315	0.0124392	0.010779	0.0136799	0.0229803	
Trumpeter Swan	0.1020813	0.0831926	0.083254	0.0798635	0.0731343	0.0633234	0.0515214	0.0457029	0.0378578	0.0343327	0.03207	0.0169784	0.0124611	0.0089219	0.01419	0.0072214	0.0051527	0.0075158	0.0062023	0.0058067	0.0052601	0.003367	0.0036878	0.006589	0.0029429	0.0096444	0.0098722	0.0043444	0.0104414	0.0073031	0.0087882	0.0048825	0.0096774	0.0069294	0.0076749	0.0108918	0.0077741	0.0114689	0.0136086	0.0264533	0.0421687	0.0729512	0.1099015	0.0985031	0.1032991	0.0803528	0.0916553	0.0797127	
Tundra Swan	0.0089197	0.0092905	0.0042816	0.0064846	0.0034826	0.0046749	0.0058783	0.0049677	0.0023084	0.0033849	0.0062474	0.0020144	0.001947	0.0037175	0.0043358	6.279E-4	3.681E-4	3.956E-4	9.542E-4	4.148E-4	0.0011689	5.612E-4	0.0015	5.068E-4	0.0011772	0.0012055	0.0011614	0.0	0.0018984	0.0015649	0.0018501	9.155E-4	8.065E-4	4.331E-4	0.0013544	0.0020422	8.183E-4	4.411E-4	0.0028156	0.007838	0.0080321	0.0127901	0.0228097	0.0159343	0.0135208	0.0117589	0.0072959	0.0050269	
Trumpeter/Tundra Swan	0.0015	4.223E-4	0.0014272	0.0010239	0.0	0.001275	3.458E-4	4.968E-4	0.0015	0.0019342	8.33E-4	5.755E-4	3.894E-4	3.717E-4	7.883E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	4.411E-4	9.385E-4	0.0015	0.001506	4.737E-4	5.184E-4	0.0015	0.0016225	0.0019598	9.12E-4	0.0014363	
swan sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.949E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.515E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	3.304E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14E-4	3.681E-4	0.0	0.0	0.0	5.845E-4	5.612E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.216E-4	4.625E-4	3.052E-4	0.0	4.331E-4	0.0	3.404E-4	0.0	0.0	0.0	0.0	0.0	4.737E-4	0.0	0.0	0.0	0.0	4.56E-4	7.181E-4	
Wood Duck	0.0181698	0.0274493	0.0137964	0.0139932	0.0208955	0.0118997	0.014177	0.023845	0.0286242	0.0270793	0.0237401	0.0310791	0.0288162	0.0245353	0.02365	0.021978	0.0294442	0.0348101	0.0429389	0.0547491	0.0701344	0.0578002	0.0516288	0.0552458	0.050618	0.047619	0.0354239	0.0414692	0.0450878	0.049035	0.0457909	0.0576747	0.0576613	0.0411434	0.0401806	0.0316542	0.0409165	0.02779	0.0220554	0.0261267	0.0210843	0.0222643	0.0222913	0.0289715	0.01947	0.0254777	0.0168719	0.0157989	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0011152	0.0019708	0.0072214	0.0257637	0.0450949	0.0601145	0.0514309	0.0356517	0.0078563	0.0055317	0.0030411	0.0017657	0.0018083	0.0023229	3.949E-4	0.0033223	0.0020866	0.0055504	0.0091547	0.008871	0.0116934	0.0099323	0.0085092	0.012275	0.0052933	0.0018771	0.0019595	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.165E-4	0.0080576	7.788E-4	0.0052045	0.0114308	0.0235479	0.020611	0.0193829	0.0257634	0.0095396	0.0046756	0.003367	0.0018439	5.068E-4	0.0029429	6.028E-4	0.0017422	0.0015	4.746E-4	0.0015	0.0023127	0.0021361	8.065E-4	0.0012993	0.0013544	0.0010211	0.0012275	0.0017644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged/Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14E-4	0.0	3.956E-4	0.0	4.148E-4	0.0	0.0	6.146E-4	0.0	5.886E-4	0.0	0.0	0.0	0.0	0.0010433	0.0015	6.103E-4	8.065E-4	4.331E-4	9.029E-4	3.404E-4	4.092E-4	8.822E-4	9.385E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0485629	0.0557432	0.0513796	0.0539249	0.0517413	0.0458989	0.0338866	0.0422255	0.0383195	0.0294971	0.0458142	0.0385612	0.0373832	0.0460967	0.0603074	0.0838305	0.062569	0.054193	0.0644084	0.0203235	0.0052601	5.612E-4	0.0024585	0.0020274	0.0029429	6.028E-4	0.0017422	0.0	0.0018984	0.010433	0.0231267	0.0335673	0.0455645	0.0515375	0.0469526	0.0486726	0.0671031	0.078959	0.0685124	0.0774004	0.0722892	0.070109	0.0710213	0.0772574	0.0621958	0.0632043	0.0569995	0.0603232	
Gadwall	0.0320449	0.0371622	0.0518554	0.0443686	0.0527363	0.0505737	0.0387275	0.0630899	0.0590951	0.0604449	0.058309	0.0541007	0.0634735	0.06171	0.0685849	0.0706436	0.0791314	0.0688291	0.0615458	0.0410618	0.0274693	0.013468	0.016595	0.0076026	0.0041201	0.0018083	0.0029036	7.899E-4	0.0014238	0.0020866	0.0013876	0.0051877	0.0076613	0.0125595	0.014447	0.0146358	0.0245499	0.0269078	0.0384796	0.0395167	0.0376506	0.0369493	0.0492483	0.0338001	0.0383991	0.0352768	0.0273598	0.0265709	
Eurasian Wigeon	0.0376611	0.0375845	0.0280685	0.0249147	0.0288557	0.0254994	0.026971	0.0293095	0.0267775	0.0343327	0.0291545	0.022446	0.0128505	0.0107807	0.0149783	0.010989	0.0132499	0.0067247	0.004771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.032E-4	4.331E-4	0.0015	0.003744	0.002455	0.0110278	0.0145472	0.0215545	0.0361446	0.0421601	0.0254018	0.0313858	0.0281233	0.0401764	0.0314637	0.02693	
